top,bookname,click,info,label,type
1,元尊,604547,"天地为炉，万物为铜，阴阳为炭，造化为工。
气运之争，蟒雀吞龙。
究竟是蟒雀为尊，还是圣龙崛起，凌驾众生？
这是气掌乾坤的世界，磅礴宏伟，一气可搬山，可倒海，可翻天，可掌阴阳乾坤。
世间源气分九品，三品称玄，六品成天，九品号圣。  
吾有一口玄黄气，可吞天地日月星。",爽文 热血,奇幻·玄幻
2,一剑独尊,435244,"生死看淡，不服就干。
诸天神佛仙，不过一剑间！",争霸 爽文,奇幻·玄幻
3,剑仙在此,377569,"表面上他是个剑仙。实际上……他是一个挂逼。
公众号【乱世狂刀】。
QQ群：189743494，所有读者皆可加！",热血 爽文 穿越 升级,奇幻·玄幻
4,陆地键仙,352157,穿越后多了一个第一美人的老婆，闺蜜偷偷联系我，女校长对我青睐有加，美女老师把贴身之物给了我……不行，我得提防这些女人，她们一定是馋我身子！公众号：六如和尚，qq群：1145724829,穿越 爽文 搞笑 异世,奇幻·玄幻
5,雪中悍刀行,232723,"江湖是一张珠帘。
大人物小人物，是珠子，大故事小故事，是串线。
情义二字，则是那些珠子的精气神。
————
开始收官中。
最终章将以那一声“小二上酒”结尾。
【北京影视出版创作基金扶持作品】鸣谢北京市新闻出版广电局
",烽火戏诸侯 热血 玄幻 修真,奇幻·玄幻
6,逆天邪神,221643,"掌天毒之珠，承邪神之血，修逆天之力，一代邪神，君临天下！


【添加微信公众号：火星引力】",爽文 升级 异世 热血,奇幻·玄幻
7,剑道第一仙,214799,"我是万古人间一剑修，诸天之上第一仙。
已有完本作品《符皇》《天骄战纪》
公众号：xiaojinyu233",爽文 重生 扮猪吃虎,奇幻·玄幻
8,无敌剑域,177224,如果杀人不是为了装逼，那将毫无意义；如果活着不是为了装逼，那还不如死了。杀，就杀他个尸横遍野，装，就装他个巅峰不败！——新书《一剑独尊》已发布，欢迎大家去阅读，在纵横直接搜索《一剑独尊》 便可。微信公众号：直接搜：青鸾峰上。青鸾读者群：571783824,热血 爽文 技术流 扮猪吃虎,奇幻·玄幻
9,万相之王,141595,天地间有万相，我李洛，终将成为那万相之王。,热血 爽文 升级 天蚕土豆,奇幻·玄幻
10,边月满西山,140611,"【书友群：362224763】
天下是一盘大棋。
大人物博弈朝堂，小人物对弈江湖。
一枚小小的棋子却将这棋局打破。
自此步步为营，将这天下圈了个扎实。",非套路剧情流 侠胆酒心 权谋心术 金戈铁马,奇幻·玄幻
11,剑骨,100883,"霜杀百草的年代，少年走出菩萨庙，接过全天下最重的剑，向着人世间，斩开了一线光明。
已有完结《浮沧录》，等更可以一看。
……
……
公众号：会摔跤的熊猫。（每一条留言评论都会认真看）
一群：剑骨-神仙居：903405682。（已满）
二群：剑骨-灞都城：251622532。（欢迎加入）
VIP群【莲阁】：549974786。（进群需要提一个舵主粉丝星值。）",东方玄幻 热血 老白 文青,奇幻·玄幻
12,一世独尊,98218,一缕剑光锁住八道绝世凶魂，穷奇、烛龙、鲲鹏、螣蛇……少年体内，为何隐藏着此等秘辛？封印锁链，层层破碎。烛龙之目，穷奇之力，鲲鹏之翼，螣蛇魅影……带给他一项项逆天神通。这一生，只问今朝，不求来世。这一剑，刺碎凌霄，踏破九天！【微信公众号：月如火 。】,扮猪吃虎 穿越 爽文 热血,奇幻·玄幻
13,骑士征程,68764,"位面战争已拉开帷幕，
战火燃遍了整个世界，
当天真和自由被野蛮践踏！
当杀戮之音响彻整个云霄！
是骑士，用不屈意志驱散黑暗！
是魔法，用希望之光照亮征途！
在这个弱肉强食的世界里，
只有胜利者才能书写历史！
---------------------
书友1群：678816703，文明交流，严禁开车。
书友3群：1020671418，文明交流，严禁开车。
公众号：D我爱小豆，有我上传的巫师世界地图。
B站：作者我爱小豆，每天4：00~4：30直播码字。",骑士 巫师 异世 争霸,奇幻·玄幻
14,火种进化,58275,"人类可以利用的能源一夜之间全部消失，末世来临。
无数以往只存在于文艺作品中的邪恶一一出现，人类这才发现他们对世界的了解少的可怜。
当科技文明无法抵抗邪恶，有英雄从废土中站出来，带领人类走上另外一条进化道路。
第三火种时代开启。",末世 热血 爽文,奇幻·玄幻
15,盖世,53717,"浩漭天地，界陆三分。
     妖魔横行的寂灭大陆，药神宗天才宗主，毕生无法修行，于大限将至之际，寻转世再生之路。
     然，生死海深，轮回路险，因果纠缠，厄难降临。
     ……
     三百年后。
     凡人聚涌的乾玄大陆，一座边陲小城，风雨飘摇的虞家，有一天魂、地魂遗失的浑噩少年，一夜觉醒。
     就此，风云突变，天地翻覆，传说和神话再续。
     新生少年，地魂凝炼阴神，天魂进阶阳神，人魂蜕变元神。
终，三魂盖世！
     ……",热血 重生 爽文,奇幻·玄幻
16,永夜君王,48608,"千夜自困苦中崛起，在背叛中坠落。
自此一个人，一把枪，行在永夜与黎明之间，却走出一段传奇。
若永夜注定是他的命运，那他也要成为主宰的王。",千夜 古武 枪械 血族,奇幻·玄幻
