top,bookname,collection,info,label,type
1,绝代神主,10130881,苏家少主苏莫，觉醒出逆天武魂，却被认为是最低级的垃圾武魂，受尽屈辱……且看苏莫如何凭借着逆天武魂，一路崛起，一路逆袭……【读者群：703269794】,重生、天才流、剑修、热血,[玄幻]
2,万道剑尊,6169379,少年得大天造化诀，在逆境中崛起，在绝境中争得一线生机，踏天道，破苍穹，剑指神霄，战遍九天十地！,热血、豪门、强者回归、玄学,[玄幻]
3,凌天战尊,6032087,【2014星创奖第一季参赛作品】地球最强兵王魂穿异世，融轮回武帝记忆，修《九龙战尊诀》，所向披靡，战威无可敌！     会炼药、能炼器、懂铭纹……    生活职业，全能才是王道！！,热血、特种兵、重生、丹药,[玄幻]
4,择天记,5831179,命里有时终须有，命里无时要强求。这是一个长生果的故事。,暂无,[玄幻]
5,太古龙象诀,5825744,【【2016星创奖之玄幻参赛作品】】太古时代，强者如云，有妖族巨擘，仰天长啸吼碎域外星辰，有人族无上大能，挥手斩碎万古苍穹。更有太古龙象，掌管亿万星域，统治诸天万界。而曾经最为强大的太古禁忌神术太古龙象诀却自太古时代结束便消失不见，时至今日，太古龙象诀已经失传亿万年。无尽岁月后，落魄少年林枫偶得太古第一禁忌神术太古龙象诀。当林枫从世界最北部一个偏远小城走出之后，一段传奇由此展开。这是一个强者如林，万族争锋的世界。 问苍茫大地，谁主沉浮？ 林枫凭借太古龙象诀，战天斗地，横扫诸天强者，霸绝万界。群号：426393872，群号2：593922637,勇猛、特种兵、无限流、玄学,[玄幻]
6,龙血武帝,5098188,【2014Next Idea原创文学大赏参赛作品】【玄幻火书】诸天万界，万道争锋！逆命少年得困龙升天柱，觉醒亿万龙力，横空出世，淬上古龙血，修浮屠功法，为爱杀上九重天，以三千通能，铸永恒国度，登上武帝之巅。,铁血、特种兵、争霸流、丹药,[玄幻]
7,不灭龙帝,4875400,身怀绝世血脉，少年自北漠拉棺而来，他要将世上神魔全部埋葬。,暂无,[玄幻]
8,万古神帝,4832370,【NEXT IDEA 暨2015星创奖征文大赏（玄幻）】八百年前，明帝之子张若尘，被他的未婚妻池瑶公主杀死，一代天骄，就此陨落。    八百年后，张若尘重新活了过来，却发现曾经杀死他的未婚妻，      已经统一昆仑界，开辟出第一中央帝国，号称“池瑶女皇”。    池瑶女皇——统御天下，威临八方；青春永驻，不死不灭。    张若尘站在诸皇祠堂外，望着池瑶女皇的神像，心中燃烧起熊熊的仇恨烈焰，“待我重修十三年，敢叫女皇下黄泉”。…………,暂无,[玄幻]
9,神武战王,4568760,圣域第一公子江辰遭心爱的人背叛，不幸陨落。灵魂穿越到五百年后，九天大陆一名同名同姓的少年身上。身怀至尊神脉，掌握无数秘典，江辰发誓要杀回圣域，手刃仇敌。,豪门、练功流、位面,[玄幻]
10,太古星辰诀,4291500,蛮荒大陆，武道为尊，实力为尊。一代天骄叶辰，携太古无上神诀，横空出世，炼武脉，渡雷劫，融真灵神血，武震六合八荒，神游诸天万界，以亿万星辰永恒不灭之秘境，鏖战天下！无穷无尽的宝物，光怪陆离的世界，宗门，古族，仙子，魔女，恩怨情仇，热血争斗，一切的一切，尽在其中。,热血、练功流,[玄幻]
11,神道丹尊,4112956,（新书《云天帝》已经上传）绝世强者、一代丹帝凌寒为追求成神之路而殒落，万年后携《不灭天经》重生于同名少年，从此风云涌动，与当世无数天才争锋，重启传奇之路，万古诸天我最强！,腹黑、豪门、重生、丹药,[玄幻]
12,太古至尊,3991180,【玄幻经典】【热血爽文】天魂大陆上九大至尊之一，最年轻的丹尊，重生成为一个普通世家的小辈，莫青云。   从此莫青云之名，便如同彗星一般，瞬间崛起在天魂大陆，超越一个个大家族、大宗派的天才。   至尊重生，装逼打脸吃老虎，一样的热血，不一样的崛起之路。,无敌流、天才流、嘴炮、杀伐果断、仙帝、脑洞大、快节奏、热血,[玄幻]
13,太古神王,3867391,【玄幻爽文】九天大陆，天穹之上有九条星河，亿万星辰，皆为武命星辰，武道之人，可沟通星辰，觉醒星魂，成武命修士。传说，九天大陆最为厉害的武修，每突破一个境界，便能开辟一扇星门，从而沟通一颗星辰，直至，让九重天上，都有自己的武命星辰，化身通天彻地的太古神王。亿万生灵、诸天万界，秦问天笑看苍天，他要做天空，最亮的那颗星辰。,暂无,[玄幻]
